epoch,global_step,seq_len,precision,recall,f1,time_minutes
4,4096,64,0.025339032565577048,0.9999999999999988,0.04942566655665035,0.4040829300880432
4,4096,128,0.013673906393392474,0.9999999999999989,0.026978905754869723,0.4040829300880432
4,4096,256,0.006850832104969717,0.9999999999999989,0.013608435105804582,0.4040829300880432
4,4096,512,0.0034350489494475297,0.9999999999999989,0.006846579562953182,0.4040829300880432
4,4096,1024,0.0017456368617455606,0.9999999999999989,0.0034851898476194495,0.4040829300880432
4,4096,2048,0.0008793908739829062,0.9999999999999989,0.0017572364502662608,0.4040829300880432
4,4096,4096,0.00044157584398925147,0.9999999999999989,0.0008827618816546869,0.4040829300880432
4,4096,8192,0.00021577622217559654,0.9999999999999989,0.00043145934568312777,0.4040829300880432
4,4096,16384,0.00010645582452837567,0.9999999999999989,0.0002128889857840238,0.4040829300880432
4,4096,32768,5.1975761413611966e-05,0.9999999999999988,0.00010394612014837928,0.4040829300880432
